name,Link,PAT,ROE,D/E,GMP,OFS,fresh,open,close
Indo Farm Equipment Limited IPO,https://www.chittorgarh.com/ipo/indo-farm-equipment-ipo/1934/,4.16,5.13,0.85,80,250.00,250.00,215.00,293.20
Unimech Aerospace and Manufacturing Limited IPO,https://www.chittorgarh.com/ipo/unimech-aerospace-ipo/1942/,27.85,53.53,0.32,625,75.25,184.90,785.00,1485.00
Carraro India Limited IPO,https://www.chittorgarh.com/ipo/carraro-india-ipo/1945/,3.50,17.69,0.58,-10,1250.00,,704.00,682.00
Senores Pharmaceuticals Limited IPO,https://www.chittorgarh.com/ipo/senores-pharmaceuticals-ipo/1943/,15.25,23.60,1.07,280,82.11,500.00,391.00,609.00
Ventive Hospitality Limited IPO,https://www.chittorgarh.com/ipo/ventive-hospitality-ipo/1939/,-137.83,,,85,,1600.00,643.00,749.00
Concord Enviro Systems Limited IPO,https://www.chittorgarh.com/ipo/concord-enviro-ipo/1941/,8.34,13.73,0.47,100,325.33,175.00,701.00,860.00
Sanathan Textiles Limited IPO,https://www.chittorgarh.com/ipo/sanathan-textiles-ipo/1940/,,11.09,0.17,94,150.00,400.00,321.00,423.00
Mamata Machinery Limited IPO,https://www.chittorgarh.com/ipo/mamata-machinery-ipo/1937/,15.27,27.76,0.09,260,,179.39,243.00,630.00
DAM Capital Advisors Limited IPO,https://www.chittorgarh.com/ipo/dam-capital-advisors-ipo/1936/,38.75,54.72,,143,,840.25,283.00,456.90
Transrail Lighting Limited IPO,https://www.chittorgarh.com/ipo/transrail-lighting-ipo/1933/,5.65,24.41,0.56,165,438.91,400.00,432.00,605.00
International Gemmological Institute (India) Limited IPO,https://www.chittorgarh.com/ipo/international-gemmological-institute-ipo/1930/,52.60,76.58,,,2750.00,1475.00,417.00,525.00
Inventurus Knowledge Solutions Limited IPO,https://www.chittorgarh.com/ipo/inventurus-knowledge-solutions-ipo/1926/,20.38,32.00,-0.06,415,2497.92,0.00,1329.00,2148.00
One Mobikwik Systems Limited IPO,https://www.chittorgarh.com/ipo/mobikwik-ipo/1928/,,,0.73,160,0.00,572.00,279.00,528.00
Sai Life Sciences Limited IPO,https://www.chittorgarh.com/ipo/sai-life-sciences-ipo/1925/,5.65,11.79,0.73,70,2092.62,950.00,549.00,780.00
Vishal Mega Mart Limited IPO,https://www.chittorgarh.com/ipo/vishal-mega-mart-ipo/1924/,,8.18,5.18,20,8000.00,0.00,78.00,114.40
Property Share Investment Trust SM REIT,https://www.chittorgarh.com/ipo/property-share-reit-ipo/1917/,,,,,0.00,352.91,1050000.00,1050050.00
Suraksha Diagnostic Limited IPO,https://www.chittorgarh.com/ipo/suraksha-diagnostic-ipo/1918/,10.57,14.09,0.20,15,846.25,0.00,441.00,449.00
Enviro Infra Engineers Limited IPO,https://www.chittorgarh.com/ipo/enviro-infra-engineers-ipo/1911/,15.17,51.68,0.80,55,77.97,572.46,148.00,233.70
NTPC Green Energy Limited IPO,https://www.chittorgarh.com/ipo/ntpc-green-energy-ipo/1902/,16.20,7.39,1.91,2,0.00,10000.00,108.00,122.65
Zinka Logistics Solution Limited IPO,https://www.chittorgarh.com/ipo/blackbuck-ipo/1904/,32.96,9.39,0.47,,564.72,550.00,273.00,285.80
Niva Bupa Health Insurance Company Limited IPO,https://www.chittorgarh.com/ipo/niva-bupa-health-insurance-ipo/1899/,0.12,-0.93,0.12,1,1400.00,800.00,74.00,80.94
ACME Solar Holdings Limited IPO,https://www.chittorgarh.com/ipo/acme-solar-holdings-ipo/1897/,0.41,2.93,3.89,,505.00,2395.00,289.00,276.10
Swiggy Limited IPO,https://www.chittorgarh.com/ipo/swiggy-ipo/1896/,-18.44,-8.21,0.03,2,6828.43,4499.00,390.00,465.80
Sagility India Limited IPO,https://www.chittorgarh.com/ipo/sagility-india-ipo/1898/,11.83,0.29,0.15,1,2106.60,0.00,30.00,32.87
Afcons Infrastructure Limited IPO,https://www.chittorgarh.com/ipo/afcons-infrastructure-ipo/1881/,2.85,10.55,0.91,15,1250.00,4180.00,463.00,479.45
Godavari Biorefineries Limited IPO,https://www.chittorgarh.com/ipo/godavari-biorefineries-ipo/1895/,-4.97,-11.16,3.01,,229.75,325.00,352.00,354.45
Deepak Builders & Engineers India Limited IPO,https://www.chittorgarh.com/ipo/deepak-builders-engineers-ipo/1890/,13.52,8.48,0.91,30,42.83,217.21,203.00,198.85
Waaree Energies Limited IPO,https://www.chittorgarh.com/ipo/waaree-energies-ipo/1888/,11.47,8.79,0.06,1275,721.44,3600.00,1503.00,2600.00
Hyundai Motor India Limited IPO,https://www.chittorgarh.com/ipo/hyundai-motor-ipo/1879/,8.48,13.69,0.06,45,27870.16,0.00,1960.00,1968.80
Garuda Construction and Engineering Limited IPO,https://www.chittorgarh.com/ipo/garuda-construction-and-engineering-ipo/1883/,23.63,36.14,0.00,,90.25,173.85,95.00,120.99
