name,Link,PAT,ROE,D/E,GMP,OFS,fresh,open,close
Indo Farm Equipment Limited IPO,https://www.chittorgarh.com/ipo/indo-farm-equipment-ipo/1934/,4.16,5.13,0.85,80,250,250,215,293.2
Unimech Aerospace and Manufacturing Limited IPO,https://www.chittorgarh.com/ipo/unimech-aerospace-ipo/1942/,27.85,53.53,0.32,625,75.25,184.9,785,1485
Carraro India Limited IPO,https://www.chittorgarh.com/ipo/carraro-india-ipo/1945/,3.5,17.69,0.58,-10,1250,,704,682
Senores Pharmaceuticals Limited IPO,https://www.chittorgarh.com/ipo/senores-pharmaceuticals-ipo/1943/,15.25,23.6,1.07,280,82.11,500,391,609
Ventive Hospitality Limited IPO,https://www.chittorgarh.com/ipo/ventive-hospitality-ipo/1939/,-137.83,,,85,,1600,643,749
Concord Enviro Systems Limited IPO,https://www.chittorgarh.com/ipo/concord-enviro-ipo/1941/,8.34,13.73,0.47,100,325.33,175,701,860
Sanathan Textiles Limited IPO,https://www.chittorgarh.com/ipo/sanathan-textiles-ipo/1940/,,11.09,0.17,94,150,400,321,423
Mamata Machinery Limited IPO,https://www.chittorgarh.com/ipo/mamata-machinery-ipo/1937/,15.27,27.76,0.09,260,,179.39,243,630
DAM Capital Advisors Limited IPO,https://www.chittorgarh.com/ipo/dam-capital-advisors-ipo/1936/,38.75,54.72,,143,,840.25,283,456.9
Transrail Lighting Limited IPO,https://www.chittorgarh.com/ipo/transrail-lighting-ipo/1933/,5.65,24.41,0.56,165,438.91,400,432,605
International Gemmological Institute (India) Limited IPO,https://www.chittorgarh.com/ipo/international-gemmological-institute-ipo/1930/,52.6,76.58,,,2750,1475,417,525
Inventurus Knowledge Solutions Limited IPO,https://www.chittorgarh.com/ipo/inventurus-knowledge-solutions-ipo/1926/,20.38,32,-0.06,415,2497.92,0,1329,2148
One Mobikwik Systems Limited IPO,https://www.chittorgarh.com/ipo/mobikwik-ipo/1928/,,,0.73,160,0,572,279,528
Sai Life Sciences Limited IPO,https://www.chittorgarh.com/ipo/sai-life-sciences-ipo/1925/,5.65,11.79,0.73,70,2092.62,950,549,780
Vishal Mega Mart Limited IPO,https://www.chittorgarh.com/ipo/vishal-mega-mart-ipo/1924/,,8.18,5.18,20,8000,0,78,114.4
Property Share Investment Trust SM REIT,https://www.chittorgarh.com/ipo/property-share-reit-ipo/1917/,,,,,0,352.91,1050000,1050050
Suraksha Diagnostic Limited IPO,https://www.chittorgarh.com/ipo/suraksha-diagnostic-ipo/1918/,10.57,14.09,0.2,15,846.25,0,441,449
Enviro Infra Engineers Limited IPO,https://www.chittorgarh.com/ipo/enviro-infra-engineers-ipo/1911/,15.17,51.68,0.8,55,77.97,572.46,148,233.7
NTPC Green Energy Limited IPO,https://www.chittorgarh.com/ipo/ntpc-green-energy-ipo/1902/,16.2,7.39,1.91,2,0,10000,108,122.65
Zinka Logistics Solution Limited IPO,https://www.chittorgarh.com/ipo/blackbuck-ipo/1904/,32.96,9.39,0.47,,564.72,550,273,285.8
Niva Bupa Health Insurance Company Limited IPO,https://www.chittorgarh.com/ipo/niva-bupa-health-insurance-ipo/1899/,0.12,-0.93,0.12,1,1400,800,74,80.94
ACME Solar Holdings Limited IPO,https://www.chittorgarh.com/ipo/acme-solar-holdings-ipo/1897/,0.41,2.93,3.89,,505,2395,289,276.1
Swiggy Limited IPO,https://www.chittorgarh.com/ipo/swiggy-ipo/1896/,-18.44,-8.21,0.03,2,6828.43,4499,390,465.8
Sagility India Limited IPO,https://www.chittorgarh.com/ipo/sagility-india-ipo/1898/,11.83,0.29,0.15,1,2106.6,0,30,32.87
Afcons Infrastructure Limited IPO,https://www.chittorgarh.com/ipo/afcons-infrastructure-ipo/1881/,2.85,10.55,0.91,15,1250,4180,463,479.45
Godavari Biorefineries Limited IPO,https://www.chittorgarh.com/ipo/godavari-biorefineries-ipo/1895/,-4.97,-11.16,3.01,,229.75,325,352,354.45
Deepak Builders & Engineers India Limited IPO,https://www.chittorgarh.com/ipo/deepak-builders-engineers-ipo/1890/,13.52,8.48,0.91,30,42.83,217.21,203,198.85
Waaree Energies Limited IPO,https://www.chittorgarh.com/ipo/waaree-energies-ipo/1888/,11.47,8.79,0.06,1275,721.44,3600,1503,2600
Hyundai Motor India Limited IPO,https://www.chittorgarh.com/ipo/hyundai-motor-ipo/1879/,8.48,13.69,0.06,45,27870.16,0,1960,1968.8
Garuda Construction and Engineering Limited IPO,https://www.chittorgarh.com/ipo/garuda-construction-and-engineering-ipo/1883/,23.63,36.14,0,,90.25,173.85,95,120.99
Barflex Polyflims Limited ,,14.73,25.44,0,0,27.1,12.32,,
Sat Kartar Shopping Limited,,4.93,66.84,0.19,,0,33.8,,
Laxmi Dental Limited,,13.03,78.78,0.94,,560.06,138,,
Quadrant Future Tek Limited,,9.68,33.41,1.86,145,0,290,,
Capital Infra Trust,,12.64,,,0,501,1077,,
Delta Autocorp Limited,,10.64,23.69,0.49,,4.06,50.54,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
IPOs Name,GMP,PAT,ROE,D/E,OFS,Fresh,Open,Close,
